"iso","area__ha","umd_tree_cover_extent_2000__ha"
"AFG",64385715.38637237,205791.2471661631
"AGO",124742297.51717126,55292492.03695792
"ALA",150643.19897168287,107727.26260976336
"ALB",2873537.2072491143,648680.052297046
"AND",45196.41073187879,19004.03765967876
"ARE",7120447.902646679,
"ARG",278010122.0692746,39086979.32057462
"ARM",2969008.6799906534,336842.1509374125
"ATF",4361.769312737579,71.63610311647179
"ATG",43575.65842129635,19323.3443446028
"AUS",768791339.5467219,42280598.56505127
"AUT",8385801.905500825,4336043.427729021
"AZE",8623532.539269045,1268610.215076237
"BDI",2693531.441821742,537674.3483759123
"BEL",3070744.164066909,865425.8845894714
"BEN",11542318.344422977,168568.17385020014
"BES",32365.985887995943,2432.0870194590207
"BFA",27341710.745218586,132.10845248505885
"BGD",13938437.483009158,1938957.8407029442
"BGR",11158730.954923011,4138947.995683444
"BHR",71517.71355015424,
"BHS",1338762.5799054077,303575.4213855737
"BIH",5106883.294355491,2657977.3757346156
"BLR",20706912.08808276,9118585.551327841
"BLZ",2198946.1320676464,1748275.854813031
"BMU",6808.118594281818,604.7941316472878
"BOL",108339284.56962675,64521463.01088536
"BRA",850035649.7393852,519187508.4457103
"BRB",43466.1461041384,5229.73614467154
"BRN",577778.7738791953,529338.9744079084
"BTN",3876296.122153535,2577234.598458715
"BWA",57788401.20902571,20328.41012015909
"CAF",62019959.33841983,47073501.13444928
"CAN",901410145.9689898,418066968.9005113
"CHE",4124549.641870184,1544417.6603324888
"CHL",75735291.61001256,19287066.431303695
"CHN",938223515.6921775,162748596.43713397
"CIV",32165794.108116165,14872640.430085925
"CMR",46604005.88969159,31459332.152387068
"COD",232912780.76088503,199281686.52502185
"COG",34173222.79362486,26388373.13191979
"COL",113675874.94466367,81801036.05465344
"COM",167304.8283011613,134784.1659987618
"CPV",409097.9066020699,7355.953906164139
"CRI",5117666.821626132,3913048.7129704915
"CUB",11073122.023192793,4014607.415076405
"CYM",28039.828707533896,13458.390701387663
"CYP",571955.8559029419,89657.93337908605
"CZE",7883558.885973769,3080384.40760447
"DEU",35783855.986936495,12526779.901286853
"DJI",2186335.7649968117,0.07522455290689677
"DMA",75428.07801477378,70924.82619295064
"DNK",4314471.980848115,663203.6978412523
"DOM",4809195.18837646,2576426.4669212927
"DZA",124831323.161373,1223621.290838984
"ECU",25611545.509024527,19027558.83812791
"EGY",98376439.43312627,154304.25470171796
"ERI",12045733.197588148,4.607613199092789
"ESH",26732059.552147225,
"ESP",50604278.841086045,11018923.060407404
"EST",4548974.012677885,2639428.801214711
"ETH",112951806.95088314,12040336.150608053
"FIN",33693917.990936995,21627651.62061675
"FJI",1808230.9721683473,1556559.2428395045
"FRA",54951497.53228095,16783020.102675263
"FSM",10266.94449256757,6171.717745402499
"GAB",26454969.882697552,24690965.17151009
"GBR",24388547.281628385,3695599.410974024
"GEO",6984457.386674287,3144573.0907966853
"GGY",8844.937559008029,1508.2049958069056
"GHA",23832413.12140905,6955668.116954673
"GIN",24481606.68352238,8159637.069725803
"GLP",165028.8017698766,94757.79385751425
"GMB",1067050.751944188,4562.456649660635
"GNB",3388205.004614477,1069848.6139013923
"GNQ",2695935.338293485,2654595.0554944226
"GRC",13257505.410983728,3672496.9285908174
"GRD",35953.336681682486,28534.396725153652
"GRL",5.104376985939379,
"GTM",10915098.490208615,7693455.584014652
"GUF",8330096.726529246,8162751.085275409
"GUY",20974416.138354797,18996032.659763444
"HKG",112913.21583201541,62046.32394554558
"HND",11228979.897587476,7740481.980804227
"HRV",5707840.22425624,2431307.5471316106
"HTI",2710683.587270622,858466.3796002436
"HUN",9305263.744426316,1990161.0617762196
"IDN",189024469.02160674,160641223.17278385
"IMN",57966.50957255909,13217.149622409499
"IND",315279651.3049855,38830351.4615558
"IRL",7036644.200084828,841570.7684954632
"IRN",162173902.77816066,1731671.419465769
"IRQ",44535864.69401601,17504.25585701569
"ISR",2215883.3664283482,29485.15502806189
"ITA",30075442.783972967,9318960.444527889
"JAM",1099979.932795692,768439.9915817666
"JEY",12512.55195694158,1549.9706975625184
"JOR",8911879.301308628,2271.4597412659346
"JPN",37240327.11823271,26387254.41133759
"KAZ",273053036.2242826,4240315.679627923
"KEN",58598335.7189723,3319482.958488112
"KGZ",19864898.7038572,674974.2563739693
"KHM",18135960.79359295,8809929.848614767
"KNA",26717.787726422524,13259.953749408905
"KOR",10022829.7919736,5367962.22560963
"KWT",1738893.795349725,
"LAO",23000147.786721338,19129551.50593056
"LBN",1023803.8608158001,65235.17381313839
"LBR",9591801.582971156,9384713.475100039
"LBY",84803545.52377014,6833.009330288545
"LCA",61447.62916556146,50731.18581798433
"LIE",16203.809321938465,9077.337999991285
"LKA",6583727.014563465,3939923.714868091
"LSO",3054531.1628567614,6051.936641610401
"LTU",6501662.939353476,2336226.27916493
"LUX",258155.73939609877,101326.48540681408
"LVA",6470996.260923877,3553506.4649054334
"MAC",3412.7864242902597,413.18574739758617
"MAR",41348767.35079181,648568.623390376
"MCO",235.29748447835152,0.39163001330075903
"MDA",3390780.839077345,356012.10175026016
"MDG",59144707.32515885,17141085.637879502
"MEX",195185464.67569405,53177141.60100889
"MKD",2482514.957614692,781684.4167757594
"MLI",122506968.14455666,25097.999755578043
"MLT",32334.790779291616,116.70431756508339
"MMR",66929667.40516485,42863374.09366504
"MNE",1333523.2587353226,616440.4562066037
"MNG",156624744.50500357,4090464.886503841
"MOZ",78729716.65135106,28917947.268937603
"MRT",104117150.64113925,33.3162228607935
"MSR",10061.822079144858,4582.527251139699
"MTQ",111787.9551722902,74649.67904764866
"MUS",191366.76446968282,71304.81704860248
"MWI",11802885.394903775,1521821.6879924352
"MYS",32938348.83652524,29430562.39760372
"MYT",39165.17965127702,33577.0504257262
"NAM",82385622.18473865,3835.3523543361007
"NCL",1882559.4074683427,1440330.5038700788
"NER",94254534.80135459,2.328707245188148
"NGA",90840998.02040084,10048731.328581087
"NIC",12821978.326774003,7776807.37184262
"NLD",3766566.3643975696,593051.6752865904
"NOR",32512221.03573841,11739521.819424357
"NPL",14766249.544406356,5161040.902470879
"NRU",2215.2335263386058,
"NZL",26716575.099227898,11255742.705745874
"OMN",30933274.086436875,0.35978744001517055
"PAK",87417630.59553996,978655.8891623549
"PAN",7510419.904453646,5700499.75915398
"PER",129281868.51759923,78087222.68306234
"PHL",29585658.16289621,18599416.941341557
"PLW",48743.205380799576,41263.465209189046
"PNG",46363060.45114378,42921808.287883386
"POL",31239917.800089445,10439489.725113895
"PRI",897037.2746448718,523696.33607211127
"PRK",12275519.138589319,5196389.714276894
"PRT",8955505.67818273,2302481.4245133614
"PRY",39958667.52153018,24296867.552506544
"PSE",621996.6833201136,614.7668988424798
"QAT",1162493.7996263087,
"REU",251271.10501461278,170474.52507285716
"ROU",23833793.63877545,7915161.1253558975
"RUS",1678437309.517688,761226474.4617566
"RWA",2527769.9121827204,497885.7754461057
"SAU",191598433.63232043,6.807712392314237
"SDN",187213491.71252778,72712.56006032831
"SEN",19688982.7125974,39568.362537974164
"SGP",69703.69605878842,18784.23099652458
"SJM",5238139.498474383,
"SLB",2853323.929689217,2741617.786680868
"SLE",7260135.886148722,5617878.285849266
"SLV",2042272.858949394,988823.3082362253
"SMR",6122.352960192705,829.5404327171898
"SOM",62086638.35437906,87128.07478370781
"SPM",22663.522839885954,5454.0719722161875
"SRB",7823140.491428761,2730300.360428103
"SSD",62809870.69840573,11386560.104792796
"STP",100217.98772540975,14213.574706850071
"SUR",14642556.865292829,13949809.567684487
"SVK",4909915.804722633,2397197.266003877
"SVN",1998090.7854925499,1293520.687200819
"SWE",45004557.91095601,27883713.92829434
"SWZ",1738333.0630141685,469227.3886479699
"SYC",20266.945161781885,6209.624619393004
"SYR",18691800.160237007,105939.86933258496
