"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"AFG",10247.471355643016,88.09271247242818,18787.030818678868,2001
"AGO",16083306.658608384,101220.62152449829,29486062.207448702,2001
"ALA",34961.68477768484,396.93482567170076,64096.422092422195,2001
"ALB",615860.8451132022,3729.021031483717,1129078.216040871,2001
"AND",273.4194761669196,1.6542129477169363,501.26903963935257,2001
"ARG",13268809.17129259,147805.95035563706,24326150.147369757,2001
"ARM",18160.70564609262,131.84061226449543,33294.62701783647,2001
"ATG",2927.477313709674,24.074189438288734,5367.0417418010675,2001
"AUS",16009704.57580626,218817.77415599072,29351125.05564487,2001
"AUT",1279790.6576843804,6926.269007849325,2346282.8724213643,2001
"AZE",70481.86056064825,553.2993561210785,129216.74436118842,2001
"BDI",206821.06193150702,1417.2469570863386,379171.9468744295,2001
"BEL",191837.4350978859,971.4881952763179,351701.9643461241,2001
"BEN",478051.1404249708,3749.331105182784,876427.0907791134,2001
"BES",507.45071020574613,3.0318572528930003,930.3263020438678,2001
"BFA",6076.335119252066,59.47710511237852,11139.947718628786,2001
"BGD",1048220.0416167944,4586.997202714803,1921736.742964123,2001
"BGR",1088080.5351984329,8202.319111660232,1994814.3145304606,2001
"BHS",33221.94467263783,432.99941970355684,60906.89856650267,2001
"BIH",282938.4549612633,1496.1071045482752,518720.5007623158,2001
"BLR",2309333.236839127,18358.964278886404,4233777.600871732,2001
"BLZ",1451874.4657174128,8211.629492547681,2661769.8538152566,2001
"BMU",29.50421447085582,0.19581979363933033,54.09105986323567,2001
"BOL",26429745.059562217,140321.2605309791,48454532.60919739,2001
"BRA",494842681.3839967,2746361.5567061193,907211582.5373273,2001
"BRB",1512.7248380703127,12.367461564155155,2773.328869795573,2001
"BRN",355750.70162614784,1244.453822867959,652209.6196479377,2001
"BTN",75759.56668959132,297.65963149428154,138892.5389309174,2001
"BWA",9963.069259199332,130.9838814771667,18265.62697519877,2001
"CAF",6259548.18145242,31282.43685307253,11475838.332662769,2001
"CAN",114981774.0288226,1358154.7994920975,210799919.05284142,2001
"CHE",244563.91238233878,1165.2132473263043,448367.1727009543,2001
"CHL",9556729.07397461,72711.30280696682,17520669.968953453,2001
"CHN",40387339.44823387,230289.11527880246,74043455.65509543,2001
"CIV",19968554.604410984,122711.45023838061,36609016.77475348,2001
"CMR",8437551.682904737,39203.71718120769,15468844.751992015,2001
"COD",107983169.05855441,455516.73897045903,197969143.27401638,2001
"COG",5996406.809919566,27030.696217873643,10993412.48485254,2001
"COL",47346193.00919147,230054.835672377,86801353.85018435,2001
"COM",7410.688026778093,36.973693208113474,13586.261382426503,2001
"CPV",,7.13645079432583,,2001
"CRI",2918658.4742621295,15461.879449467175,5350873.869480571,2001
"CUB",2258779.4833381088,18942.9087780276,4141095.7194531993,2001
"CYM",1707.109183625168,20.681612199946233,3129.700169979475,2001
"CYP",7735.843180966398,78.62890207431754,14182.379165105056,2001
"CZE",602080.1784278991,3460.1425855060706,1103813.6604511484,2001
"DEU",2809020.7645876124,15286.38056788727,5149871.401743956,2001
"DMA",5645.02287146733,22.792755510800124,10349.208597690103,2001
"DNK",477170.90671634296,4329.2958531879685,874813.3289799623,2001
"DOM",1734355.0248989346,11246.810065544803,3179650.87898138,2001
"DZA",365692.59647132247,3468.7602521703225,670436.4268640912,2001
"ECU",10479940.092793735,45001.46869791996,19213223.50345518,2001
"EGY",13069.140393803016,147.7649426811371,23960.090721972192,2001
"ERI",449.1318235446374,2.529524332602501,823.4083431651688,2001
"ESP",4649241.739784077,32811.05351921235,8523609.856270805,2001
"EST",1698105.748136992,16872.434505280275,3113193.8715844853,2001
"ETH",2175747.9235629253,11947.24724356126,3988871.1931986967,2001
"FIN",12753976.370001907,151003.26050003836,23382290.011670165,2001
"FJI",245942.326140519,1097.7640543965972,450894.26459095156,2001
"FRA",5834716.504351649,34420.96339434102,10696980.257978022,2001
"GAB",3688765.9641557313,15082.637729593138,6762737.6009521745,2001
"GBR",3474738.733822708,23244.12725064032,6370354.34534163,2001
"GEO",112987.46367566945,666.5563666120051,207143.68340539403,2001
"GGY",114.97259171737193,0.957678035646647,210.78308481518187,2001
"GHA",7194314.217893691,43644.05617298999,13189576.066138437,2001
"GIN",2685841.557142761,18571.525855882664,4924042.854761728,2001
"GLP",49504.57502311641,320.7023855663232,90758.3875423801,2001
"GMB",289.7270909961047,3.2974218630448364,531.1663334928587,2001
"GNB",311517.9847861298,2362.1530283449556,571116.3054412378,2001
"GNQ",932939.7886122894,3585.419101424055,1710389.6124558637,2001
"GRC",1479967.425647156,12616.822022140961,2713273.613686453,2001
"GRD",7746.381264737329,32.810858868202715,14201.69898535177,2001
"GTM",9112600.313838508,53310.175152470285,16706433.908703933,2001
"GUF",977709.4623482154,3033.287748554058,1792467.3476383947,2001
"GUY",2689474.4828720586,10039.867706898687,4930703.218598774,2001
"HKG",1528.3996993906896,7.981291213915408,2802.0661155495973,2001
"HND",7470899.467714477,42380.17445674393,13696649.024143208,2001
"HRV",555405.7181548455,3378.4896036338837,1018243.8166172167,2001
"HTI",350479.87833218527,2469.0482983445613,642546.4436090062,2001
"HUN",1166350.4667069763,7522.059331818267,2138309.1889627897,2001
"IDN",179413028.09227085,744087.9891098508,328923884.83582985,2001
"IMN",2066.5561246869142,15.975437616743115,3788.6862285926763,2001
"IND",14166614.477954624,62361.174495384395,25972126.54291681,2001
"IRL",1714267.7001866323,9559.474140866358,3142824.1170088258,2001
"IRN",35391.26560961714,332.48370537379236,64883.98695096477,2001
"IRQ",1810.4062099541343,16.026636417037192,3319.078051582579,2001
"ISR",13840.101654667606,145.9652380545117,25373.519700223944,2001
"ITA",1172744.5571170414,9871.496931661846,2150031.688047909,2001
"JAM",252829.28064725274,1246.2415233271208,463520.34785329667,2001
"JEY",657.1799771600799,3.6963388705227933,1204.829958126813,2001
"JOR",46.98282713144372,0.5220280310915502,86.13518307431349,2001
"JPN",4100042.6730346065,23977.46161886231,7516744.900563445,2001
"KAZ",519084.95855442755,4534.702741324709,951655.7573497839,2001
"KEN",3826150.7272711336,19027.211048887584,7014609.666663744,2001
"KGZ",67921.52354995253,589.2263559968983,124522.79317491295,2001
"KHM",6020735.782776639,28491.443870947376,11038015.60175717,2001
"KNA",7835.488289301029,45.60965867600311,14365.061863718554,2001
"KOR",634425.2597271297,5503.445334868549,1163112.9761664043,2001
"LAO",8170651.375236167,36474.65075046269,14979527.521266304,2001
"LBN",32317.752892699216,299.404267598162,59249.213636615226,2001
"LBR",5434033.54972033,29185.670180330653,9962394.841153938,2001
"LBY",1500.746550954912,17.152701516998924,2751.3686767506715,2001
"LCA",6344.046106947488,31.08046320852364,11630.751196070392,2001
"LIE",760.1141083856244,3.4239432119278015,1393.5425320403112,2001
"LKA",630057.4834458951,3759.510363382602,1155105.3863174743,2001
"LSO",140.51592930988392,1.1400521308137561,257.61253706812056,2001
